name,price,engineSize,year,mileage,fuelType,ratio
Lexus,173700,1987 ,2019 ,1 km,Benzyna,87418.21841972823
Audi A4 B9,171220,1968 ,2018 ,5 km,Diesel,87002.0325203252
Mercedes-Benz Klasa S W222,475000,5461 ,2015 ,51 000 km,Benzyna,86980.40651895257
Seat Tarraco,173800,2000 ,2019 ,5 km,Benzyna,86900
Volkswagen Golf VII,129900,1500 ,2019 ,1 km,Benzyna,86600
Jaguar E-Pace,172900,1999 ,2018 ,7 320 km,Diesel,86493.24662331166
BMW Seria 3 F30,125300,1449 ,2018 ,2 120 km,Benzyna,86473.42995169082
Opel Insignia B,137999,1598 ,2018 ,1 km,Benzyna,86357.32165206507
Audi A6 C7,169900,1968 ,2018 ,33 268 km,Diesel,86331.30081300813
Volkswagen Passat B8,169900,1968 ,2019 ,1 km,Diesel,86331.30081300813
Volkswagen Tiguan II,169900,1968 ,2019 ,1 km,Benzyna,86331.30081300813
Škoda Kodiaq,167900,1968 ,2019 ,1 km,Diesel,85315.0406504065
Jeep Grand Cherokee IV,254709,2987 ,2018 ,1 km,Diesel,85272.51422832273
Audi Q5 FY,169000,1984 ,2018 ,8 050 km,Benzyna,85181.45161290323
BMW Seria 4,169980,1998 ,2018 ,24 821 km,Benzyna,85075.07507507507
BMW Seria 7 G11/12,255000,3000 ,2017 ,25 000 km,Diesel,85000
Volkswagen Passat B8,169900,2000 ,2019 ,1 km,Diesel,84950
Jeep Renegade,84820,999,2018 ,1 km,Benzyna,84904.9049049049
Mercedes-Benz SLC,135000,1595 ,2016 ,35 900 km,Benzyna,84639.49843260189
Opel Insignia B,168900,1998 ,2019 ,1 km,Diesel,84534.53453453453
Seat Arona,84500,1000 ,2019 ,5 km,Benzyna,84500
BMW X1 F48,168500,2000 ,2018 ,5 km,Diesel,84250
Volkswagen Golf VII,167000,1984 ,2018 ,7 000 km,Benzyna,84173.3870967742
Lexus RX IV,168000,1998 ,2016 ,40 419 km,Benzyna,84084.08408408408
Volkswagen Tiguan Allspace,167900,1998 ,2019 ,3 km,Diesel,84034.03403403403
Jeep Renegade,83900,999,2018 ,1 km,Benzyna,83983.98398398398
Seat Arona,83800,1000 ,2019 ,5 km,Benzyna,83800
Audi A4 B9,164900,1968 ,2018 ,27 633 km,Diesel,83790.65040650406
Audi A6 C7,164900,1968 ,2018 ,27 177 km,Diesel,83790.65040650406
Audi A6 C7,164900,1968 ,2017 ,56 042 km,Diesel,83790.65040650406
Mercedes-Benz GLE W166,249900,2995 ,2016 ,46 000 km,Diesel,83439.06510851419
BMW Seria 3 F30,125000,1499 ,2018 ,5 km,Benzyna,83388.92595063377
